,createTime,specificEnergy (kWh/kWp),plantid,dayEnergy (kWh),irradiation (Wh/msq),kWp,plant_nr
70,2018-03-10,1.38,100127,14574.26,193.4736446,10561.057971014494,Plant1
71,2018-03-11,0.47,100127,5026.71,70.26588025,10695.12765957447,Plant1
72,2018-03-12,1.11,100127,11792.04,134.3870741,10623.45945945946,Plant1
73,2018-03-13,0.45,100127,4795.73,60.45343743,10657.177777777777,Plant1
74,2018-03-14,1.81,100127,19223.19,204.0205283,10620.546961325967,Plant1
75,2018-03-15,0.97,100127,10310.01,118.9411755,10628.876288659794,Plant1
76,2018-03-16,1.97,100127,20906.2,224.5710156,10612.284263959391,Plant1
77,2018-03-17,2.88,100127,30504.2,339.6349858,10591.736111111111,Plant1
78,2018-03-18,4.95,100127,52455.53,565.2443143,10597.076767676766,Plant1
79,2018-03-19,4.94,100127,52393.47,547.150023,10605.965587044533,Plant1
80,2018-03-20,5.38,100127,57002.42,604.3111353,10595.245353159851,Plant1
81,2018-03-21,1.96,100127,20766.42,228.7932015,10595.112244897959,Plant1
82,2018-03-22,0.98,100127,10429.79,122.0732209,10642.642857142859,Plant1
83,2018-03-23,1.26,100127,13334.48,151.1736988,10582.920634920634,Plant1
84,2018-03-24,1.08,100127,11415.11,131.7854008,10569.546296296296,Plant1
85,2018-03-25,0.78,100127,8235.28,98.49496179,10558.051282051283,Plant1
86,2018-03-26,2.37,100127,25169.78,284.475392,10620.160337552741,Plant1
87,2018-03-27,1.1,100127,11673.61,134.769737,10612.372727272726,Plant1
88,2018-03-28,0.91,100127,9609.11,121.6739827,10559.461538461539,Plant1
89,2018-03-29,2.46,100127,26059.28,285.6281579,10593.20325203252,Plant1
90,2018-03-30,5.31,100127,56239.13,605.538183,10591.173258003766,Plant1
91,2018-03-31,2.26,100127,23908.55,259.7061017,10579.004424778761,Plant1
93,2018-04-01,3.74,100127,39676.26,430.3966011,10608.625668449198,Plant1
94,2018-04-02,5.55,100127,58773.69,632.4016337,10589.854054054054,Plant1
95,2018-04-03,0.86,100127,9083.22,110.1080196,10561.883720930233,Plant1
96,2018-04-04,3.46,100127,36648.41,426.1306435,10592.026011560694,Plant1
97,2018-04-05,1.42,100127,15077.63,165.0725426,10618.049295774648,Plant1
98,2018-04-06,5.82,100127,61701.53,678.0776833,10601.637457044673,Plant1
99,2018-04-07,4.72,100127,50021.21,521.8640395,10597.713983050848,Plant1
100,2018-04-08,5.02,100127,53189.54,551.5534383,10595.525896414343,Plant1
101,2018-04-09,3.63,100127,38517.54,409.8411132,10610.892561983472,Plant1
102,2018-04-10,2.52,100127,26757.4,288.8168745,10618.015873015873,Plant1
103,2018-04-11,5.97,100127,63242.94,670.6185042,10593.457286432162,Plant1
104,2018-04-12,3.58,100127,37903.41,406.9240435,10587.54469273743,Plant1
105,2018-04-13,2.97,100127,31481.69,333.901,10599.895622895621,Plant1
106,2018-04-14,1.89,100127,20061.24,218.5842961,10614.4126984127,Plant1
107,2018-04-15,1.39,100127,14687.91,165.7717701,10566.841726618706,Plant1
108,2018-04-16,2.97,100127,31470.74,346.1302246,10596.208754208754,Plant1
109,2018-04-17,3.98,100127,42143.72,466.4636303,10588.874371859296,Plant1
110,2018-04-18,4.73,100127,50113.39,556.6053408,10594.797040169133,Plant1
111,2018-04-19,5.98,100127,63354.67,658.9597597,10594.426421404682,Plant1
112,2018-04-20,5.97,100127,63285.22,661.6874339,10600.539363484088,Plant1
113,2018-04-21,5.95,100127,63043.05,709.5973994,10595.470588235294,Plant1
114,2018-04-22,4.95,100127,52451.68,550.7613037,10596.298989898989,Plant1
115,2018-04-23,3.83,100127,40629.7,493.8942865,10608.276762402087,Plant1
116,2018-04-24,2.7,100127,28632.52,310.8438073,10604.637037037037,Plant1
117,2018-04-25,3.29,100127,34843.85,431.7839105,10590.835866261397,Plant1
118,2018-04-26,3.62,100127,38379.87,450.2545818,10602.174033149171,Plant1
119,2018-04-27,4.73,100127,50085.7,600.3809777,10588.942917547567,Plant1
120,2018-04-28,2.55,100127,27054.08,296.3961576,10609.443137254904,Plant1
121,2018-04-29,3.66,100127,38765.99,442.9006022,10591.800546448087,Plant1
122,2018-04-30,0.7,100127,7374.69,89.17120968,10535.271428571428,Plant1
124,2018-05-01,2.16,100127,22886.18,258.0259688,10595.453703703703,Plant1
125,2018-05-02,4.83,100127,51227.66,566.4844733,10606.140786749484,Plant1
126,2018-05-03,4.67,100127,49471.5,592.0549823,10593.468950749464,Plant1
127,2018-05-04,5.69,100127,60270.04,685.720266,10592.274165202109,Plant1
128,2018-05-05,6.53,100127,69227.34,759.9986034,10601.430321592648,Plant1
129,2018-05-06,6.58,100127,69693.08,742.6333967,10591.653495440729,Plant1
130,2018-05-07,6.62,100127,70204.7,750.50717,10604.939577039275,Plant1
131,2018-05-08,6.66,100127,70633.09,763.353526,10605.569069069068,Plant1
132,2018-05-09,6.62,100127,70170.95,758.7872464,10599.841389728095,Plant1
133,2018-05-10,5.14,100127,54423.28,613.7296479,10588.186770428016,Plant1
134,2018-05-11,6.84,100127,72527.36,812.3398985,10603.415204678362,Plant1
135,2018-05-12,5.59,100127,59199.71,633.0022025,10590.28801431127,Plant1
136,2018-05-13,6.54,100127,69327.24,741.9552384,10600.495412844037,Plant1
137,2018-05-14,6.68,100127,70756.75,764.9489697,10592.327844311378,Plant1
138,2018-05-15,6.63,100127,70257.94,747.2387646,10596.97435897436,Plant1
139,2018-05-16,6.44,100127,68270.87,749.8420729,10601.066770186335,Plant1
140,2018-05-17,6.35,100127,67289.32,742.8103625,10596.743307086615,Plant1
141,2018-05-18,2.94,100127,31158.32,328.7235195,10598.068027210884,Plant1
142,2018-05-19,4.59,100127,48652.84,557.5207003,10599.747276688453,Plant1
143,2018-05-20,6.68,100127,70759.64,782.0209776,10592.760479041917,Plant1
144,2018-05-21,5.81,100127,61612.45,656.9667261,10604.552495697075,Plant1
145,2018-05-22,6.29,100127,66698.81,731.7362662,10603.944356120826,Plant1
146,2018-05-23,5.69,100127,60286.23,674.7600228,10595.119507908612,Plant1
147,2018-05-24,6.84,100127,72482.97,791.0238577,10596.925438596492,Plant1
148,2018-05-25,6.8,100127,72038.12,774.4299673,10593.841176470587,Plant1
149,2018-05-26,6.62,100127,70120.58,769.011339,10592.232628398791,Plant1
150,2018-05-27,3.83,100127,40584.8,441.1517762,10596.553524804178,Plant1
151,2018-05-28,6.16,100127,65335.33,725.2535566,10606.38474025974,Plant1
152,2018-05-29,4.8,100127,50909.11,543.3827909,10606.064583333335,Plant1
153,2018-05-30,6.89,100127,73040.13,795.834425,10600.889695210451,Plant1
154,2018-05-31,6.64,100127,70346.05,767.9657248,10594.284638554218,Plant1
156,2018-06-01,6.71,100127,71107.57,771.9665536,10597.253353204174,Plant1
157,2018-06-02,6.63,100127,70276.08,737.51946,10599.71040723982,Plant1
158,2018-06-03,6.58,100127,69742.13,759.2087738,10599.107902735563,Plant1
159,2018-06-04,6.54,100127,69360.79,783.4712779,10605.625382262995,Plant1
160,2018-06-05,7.04,100127,74630.16,820.7238617,10600.875,Plant1
161,2018-06-06,5.81,100127,61577.54,668.5812986,10598.543889845096,Plant1
162,2018-06-07,6.84,100127,72523.99,777.1229975,10602.922514619884,Plant1
163,2018-06-08,6.73,100127,71276.76,771.3545897,10590.900445765228,Plant1
164,2018-06-09,3.46,100127,36618.22,388.7676099,10583.300578034683,Plant1
165,2018-06-10,1.24,100127,13165.76,155.8869367,10617.548387096775,Plant1
